;news_id;news_title;news_link;news_subtit;news_title_en;polarity;subjectivity;LV;EP;20M;PAV;ARA;PA;EM;LR;ABC
0;LV;La Fiscalía pide prisión incondicional para Forcadell y otros tres miembros de la Mesa;http://www.lavanguardia.com/politica/20171109/432745743081/fiscalia-prision-forcadell.html;;The Prosecutor's Office calls for unconditional imprisonment for Forcadell and three other members of the Bureau;-0.125;0.375;[0, 0, 0];[1, 100, 100];[2, 145, 72];[1, 77, 77];[2, 153, 76];[2, 171, 86];[1, 78, 78];[1, 100, 0];[1, 92, 0]
1;LV;Forcadell y otros miembros de la Mesa acatan ante el juez del TS el artículo 155;http://www.lavanguardia.com/politica/20171109/432743006661/carme-forcadell-mesa-parlament-acatan-articulo-155.html;;Forcadell and other members of the Board abide by the judge of the TS article 155;-0.125;0.375;[0, 0, 0];[0, 0, 0];[1, 63, 63];[0, 0, 0];[0, 0, 0];[2, 136, 68];[0, 0, 0];[0, 0, 0];[1, 65, 0]
2;LV;Directo | Termina de declarar la Mesa del Parlament en el TS;http://www.lavanguardia.com/politica/20171109/432736071736/forcadell-tribunal-supremo-independencia-cataluna-puigdemont-en-directo.html;;Direct | Finish declaring the Parliamentary Board in the TS;0.1;0.4;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
3;LV;Turull y Rull cambian su abogado y les defenderá Jordi Pina;http://www.lavanguardia.com/politica/20171109/432744354826/turull-rull-abogado-jordi-pina.html;;Turull and Rull change their lawyer and Jordi Pina will defend them;0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
4;LV;“Desgraciadamente, la separación de poderes en España no existe”;http://www.lavanguardia.com/politica/20171109/432721596226/eduardo-punset-presos-callar.html;;"""Unfortunately, the separation of powers in Spain does not exist""";-0.5;1.0;[0, 0, 0];[1, 72, 72];[1, 64, 64];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[2, 126, 0]
5;LV;Juncker advierte contra el “veneno” del nacionalismo y separatismos para Europa;http://www.lavanguardia.com/politica/20171109/432743200383/juncker-veneno-europa-nacionalismos-separatismos.html;;"Juncker warns against the ""poison"" of nationalism and separatism for Europe";0.0;0.0;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[2, 148, 74];[1, 62, 62];[1, 64, 64];[1, 72, 0];[1, 63, 0]
6;LV;Puigdemont ensalza los avances y promete subir “los últimos peldaños”;http://www.lavanguardia.com/politica/20171109/432748188426/puigdemont-ensalza-avances-9n-1o-promete-subir-peldanos.html;;"Puigdemont praises the advances and promises to climb ""the last steps""";0.0;0.0667;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 68, 0]
7;LV;El PDeCAT pospone su aprobación de listas a la espera de Puigdemont;http://www.lavanguardia.com/politica/20171109/432745554072/pdecat-pospone-semana-aprobacion-listas-espera-puigdemont.html;;The PDeCAT postpones its approval of lists waiting for Puigdemont;0.0;0.0;[0, 0, 0];[0, 0, 0];[1, 65, 65];[0, 0, 0];[1, 71, 71];[0, 0, 0];[1, 72, 72];[0, 0, 0];[1, 87, 0]
8;LV;Demòcrates pregunta a sus bases si debe acudir al 21-D con ERC;http://www.lavanguardia.com/politica/20171109/432742558847/democrates-catalunya-pregunta-bases-presentarse.html;;Demòcrates asks his rank and file if he should go to 21-D with ERC;-0.8;0.9;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0]
9;LV;Barcelona se descuelga en la carrera por la Agencia Europea del Medicamento, según el ‘FT’;http://www.lavanguardia.com/local/barcelona/20171109/432748308201/barcelona-descuelga-carrera-agencia-europea-medicamento.html;;Barcelona is suspended in the race for the European Medicines Agency, according to the 'FT';0.0;0.0;[0, 0, 0];[1, 81, 81];[0, 0, 0];[0, 0, 0];[1, 68, 68];[0, 0, 0];[1, 74, 74];[1, 70, 0];[0, 0, 0]
