news_id;news_title;news_link;news_subtit;news_title_en;polarity;subjectivity;LV;EP;20M;PAV;ARA;PA;EM;LR;ABC
LV;La lista de Puigdemont de cara a las elecciones será Junts per Catalunya;http://www.lavanguardia.com/politica/20171113/432868761316/lista-puigdemont-junts-per-catalunya.html;;The list of Puigdemont ahead of the elections will be Junts per Catalunya;0,0;0,0;[0, 0];[2, 81];[1, 95];[2, 64];[1, 68];[1, 63];[1, 83];[1, 85];[1, 63]
LV;ERC dice que “ni Govern ni país” estaban listos para “desarrollar la república”;http://www.lavanguardia.com/politica/20171113/432864572154/erc-reconoce-govern-preparado-republica.html;;"ERC says that ""neither Government nor country"" were ready to ""develop the republic""";0,2;0,5;[0, 0];[0, 0];[0, 0];[1, 62];[1, 61];[0, 0];[1, 66];[1, 88];[0, 0]
LV;Puigdemont valora hoy “posible” una solución que no sea la de independencia;http://www.lavanguardia.com/politica/20171113/432861599332/puigdemont-posible-solucion-diferente-independencia-catalunya.html;;"Puigdemont values ??today ""possible"" a solution that is not the independence";0,0;1,0;[0, 0];[1, 89];[1, 83];[3, 81];[1, 83];[1, 64];[0, 0];[2, 146];[1, 83]
LV;La Mesa hizo constar en acta que la DUI no tenía efectos jurídicos;http://www.lavanguardia.com/politica/20171113/432863700226/mesa-parlament-dui-independencia-efectos-juridicos.html;;The Board noted in the minutes that the DUI had no legal effect;-0,1;0,2;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Lamela acusa a Serret y a Comín de aprovecharse de su cargo “para fines ilícitos”;http://www.lavanguardia.com/politica/20171113/432863542762/carmen-lamela-diputados-cambiar-forma-gobierno.html;;"Lamela accuses Serret and Comín of taking advantage of his position ""for illicit purposes""";0,0;0,0;[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;Directo | Cospedal señala a Rusia y a Venezuela por las noticias falsas de Catalunya;http://www.lavanguardia.com/politica/20171113/432861084294/independencia-catalunya-puigdemont-govern-bruselas-belgica-en-directo.html;;Direct | Cospedal points to Russia and Venezuela for the false news of Catalonia;-0,15;0,5;[0, 0];[0, 0];[0, 0];[0, 0];[1, 64];[0, 0];[0, 0];[0, 0];[0, 0]
LV;España y otros 22 países europeos acuerdan crear la unión militar “permanente”;http://www.lavanguardia.com/internacional/20171113/432869449877/espana-veintidos-paises-ue-acuerdan-crear-union-militar.html;;"Spain and 22 other European countries agree to create a ""permanent"" military union";-0,075;0,1583;[0, 0];[0, 0];[0, 0];[0, 0];[1, 64];[0, 0];[1, 64];[0, 0];[0, 0]
LV;Alerta por un temporal con vientos de 144 km/h y olas de 4 metros;http://www.lavanguardia.com/vida/20171113/432866156695/vientos-de-hasta-144-kilometros-por-hora-y-olas-de-4-metros-en-la-costa-brava.html;;Alert for a storm with winds of 144 km / h and waves of 4 meters;0,0;0,0;[0, 0];[0, 0];[0, 0];[1, 73];[0, 0];[0, 0];[0, 0];[0, 0];[0, 0]
LV;La Audiencia archiva la acusación por pornografía contra los padres de Nadia;http://www.lavanguardia.com/sucesos/20171113/432864774580/audiencia-de-lleida-archiva-acusacion-pornografia-padres-nadia.html;;The Court files the indictment for pornography against Nadia's parents;0,0;0,0;[0, 0];[1, 64];[1, 74];[0, 0];[1, 83];[1, 69];[0, 0];[1, 83];[1, 79]
LV;Los acusados de violación grupal de los Sanfermines se declaran inocentes;http://www.lavanguardia.com/sucesos/20171113/432866043869/los-acusados-de-la-violacion-grupal-de-sanfermines-se-declaran-inocentes.html;;The accused of group rape of the Sanfermines declare themselves innocent;0,5;0,7;[0, 0];[0, 0];[1, 68];[0, 0];[1, 64];[0, 0];[0, 0];[2, 134];[0, 0]
