;news_id;news_title;news_link;news_subtit;news_rel
0;EP;"Tajani llama a respetar ""el estado de Derecho""";http://www.elperiodico.com/es//es/politica/20171020/independencia-catalunya-cataluna-ultimas-noticias-6365856;"0
				Comentarios";
1;EP;El 155: elecciones en enero e intervención de Mossos;http://www.elperiodico.com/es//es/politica/20171020/rajoy-sanchez-elecciones-cataluna-enero-6366609;"0
				Comentarios";
2;EP;La CUP quiere que los funcionarios frenen el 155;http://www.elperiodico.com/es//es/politica/20171020/cup-apuesta-funcionarios-hagan-inaplicable-articulo-155-6367005;"0
				Comentarios";
3;EP;La jueza ordena investigar llamadas de los imputados;http://www.elperiodico.com/es//es/politica/20171020/jueza-lamela-investiga-llamadas-imputados-informacion-cuentas-anc-omnium-6367459;"0
				Comentarios";
4;EP;Unas 1.300 pymes han trasladado su sede;http://www.elperiodico.com/es//es/economia/20171020/pymes-traslada-sede-fuera-catalunya-pimec-6366856;"0
				Comentarios";
5;EP;El boicot a los bancos se queda en gesto simbólico;http://www.elperiodico.com/es//es/economia/20171020/el-boicot-independentistabancos-queda-gesto-simbolico-6366724;"0
				Comentarios";
6;EP;BCN rechaza declarar al Rey persona non grata;http://www.elperiodico.com/es//es/barcelona/20171020/barcelona-rechaza-declarar-al-rey-persona-non-grata-6367106;"0
				Comentarios";
7;EP;Exitosa parodia del vídeo de Òmnium en 'Polònia';http://www.elperiodico.com/es//es/politica/20171020/polonia-video-omnium-forget-catalonia-6366937;"0
				Comentarios";
8;EP;"Piqué se ríe del ""adoctrinamiento"" del hijo de Messi cantando en catalán";http://www.elperiodico.com/es//es/barca/20171020/el-hijo-de-messi-se-arranca-a-cantar-en-catalan-6367797;"0
				Comentarios";
9;EP;Bosé suspende la Gala del Sida en Madrid por la situación política;http://www.elperiodico.com/es//es/gente/20171020/miguel-bose-cristina-cifuentes-suspenden-gala-sida-madrid-crisis-politica-6367304;"0
				Comentarios";
10;EP;Imputado un alto cargo de Renfe por el accidente del Alvia;http://www.elperiodico.com/es//es/sociedad/20171020/imputados-alto-cargo-renfe-tres-tecnicos-ineco-por-accidente-del-alvia-6367978;INVESTIGACIÓN JUDICIAL;
11;EP;Muere el actor Federico Luppi a los 81 años;http://www.elperiodico.com/es//es/ocio-y-cultura/20171020/muere-federico-luppi-un-lugar-en-el-mundo-6367198;óbito;
12;EP;Escándalo sexual en la tele francesa;http://www.elperiodico.com/es//es/tele/20171020/escandalo-sexual-tele-francesa-6366618;SÍNDROME WEINSTEIN;
13;EP;Escapada de película;http://www.elperiodico.com/es//es/noticias/onbarcelona/visitar/escapada-pelicula-con-leon-tgi-6362550;LUGARES DONDE SE HA PARADO EL TIEMPO;
14;EP;'Esto no' contra 'Así no';http://www.elperiodico.com/es/opinion/20171020/esto-no-asi-no-proceso-independentista-choque-trenes-rajoy-jordi-sanchez-cuixart-6367860;EL CONFLICTO CATALÁN;
15;EP;Política para 'dummies';http://www.elperiodico.com/es/opinion/20171020/politica-dummies-proceso-independentista-justin-trudeau-quebec-6368070;EL PROCESO SOBERANISTA;
16;EP;Rajoy ordena mano dura;http://www.elperiodico.com/es/opinion/20171020/rajoy-ordena-mano-dura-marcal-sintes-articulo-el-periodico-catalunya-puigdemont-6368342;Análisis;
17;EP;Exilio;http://www.elperiodico.com/es/opinion/20171020/exilio-por-joan-olle-proces-junqueras-teatro-oneill-koltes-6367911;Peccata minuta;
18;EP;Cementos Molins traslada la sede a Madrid;http://www.elperiodico.com/es/economia/20171020/cementos-molins-traslada-la-sede-a-madrid-6367426;TENSIÓN EMPRESARIAL;
19;EP;¿Qué pasa con mi dinero en caso de independencia?;http://www.elperiodico.com/es/economia/20171019/dinero-independencia-cataluna-6363956;5 CLAVES;
20;EP;Endesa sufre un ataque de 'phishing';http://www.elperiodico.com/es/economia/20171020/endesa-ataque-phishing-correo-falso-6366666;ALERTA;
21;EP;La lista de las empresas que trasladan la sede;http://www.elperiodico.com/es/economia/20171020/empresas-se-van-de-cataluna-independencia-6335670;pulso secesionista;
22;EP;La UE exige a May más claridad con las cuentas del 'brexit';http://www.elperiodico.com/es/internacional/20171020/may-no-concretara-factura-del-brexit-hasta-e-acuerdo-final-6367382;CUMBRE EUROPEA;
23;EP;Obama y Bush cargan contra Trump;http://www.elperiodico.com/es/internacional/20171020/obama-y-bush-cargan-contra-las-politica-de-trump-6366610;TENSIÓN POLÍTICA EN EEUU;
24;EP;Xi se agarra a la silla en China;http://www.elperiodico.com/es/internacional/20171020/xi-se-agarra-a-la-silla-6366532;CONGRESO DEL PCCH;
25;EP;Visca Canvey Island!;http://www.elperiodico.com/es/internacional/20171020/la-isla-britanica-canvey-island-se-rebela-y-quiere-la-independencia-6367507;IMPULSO SECESIONISTA;
26;EP;Plantón estatal a Forn y Trapero en la escuela de los Mossos;http://www.elperiodico.com/es/politica/20171019/planton-del-estado-al-conseller-forn-en-la-escuela-de-los-mossos-6365441;ACTO ACADÉMICO;
27;EP;El 155 apunta a Interior, Economia y Presidència;http://www.elperiodico.com/es/politica/20171019/articulo-155-cataluna-gobierno-6363643;LA RESPUESTA;
28;EP;Colau se plantea romper con el PSC por su apoyo al 155;http://www.elperiodico.com/es/politica/20171019/colau-romper-pacto-psc-articulo-155-6365423;DEBATE EN BC;
29;EP;Roces diplomáticos entre España y Bélgica;http://www.elperiodico.com/es/politica/20171019/crisis-diplomatica-espana-belgica-cataluna-6364516;POR LA MEDIACIÓN;
30;EP;"Colectivos de emergencias denuncian ""caos total"" en los incendios de Galicia";http://www.elperiodico.com/es/sociedad/20171020/colectivos-de-emergencias-denuncian-descoordinacion-y-caos-total-en-los-incendios-de-galicia-6367706;Comparecencia;
31;EP;Cae la mayor red de tráfico de subsaharianos en pateras hacia Canarias;http://www.elperiodico.com/es/sociedad/20171020/cae-la-mayor-red-de-trafico-de-subsaharianos-en-pateras-hacia-canarias-6366543;Larga investigación;
32;EP;Identificados 800 turistas por el 'timo de la diarrea' en Baleares;http://www.elperiodico.com/es/sucesos-y-tribunales/20171020/identificados-800-turistas-por-el-timo-de-la-diarrea-en-baleares-6367589;Falsas intoxicaciones;
33;EP;El Banc dels Aliments busca 25.000 voluntarios para el Gran Recapte;http://www.elperiodico.com/es/sociedad/20171020/el-banc-dels-aliments-busca-25000-voluntarios-para-el-gran-recapte-6367121;los días 1 y 2 de diciembre;
34;EP;Márquez contra Dovizioso, corazón contra cabeza;http://www.elperiodico.com/es/motogp/20171020/motogp-marquez-contra-dovizioso-6367985;RECTA FINAL DEL MUNDIAL;
35;EP;Núria Picas, lección de altura;http://www.elperiodico.com/es/deportes/20171019/nuria-picas-leccion-de-altura-6365679;LA EXPERIENCIA DE UNA CAMPEONA;
36;EP;Josep Marín, el exmarchador de acero;http://www.elperiodico.com/es/deportes/20171020/josep-marin-exmarchador-ironman-hawai-triatlon-6367003;LA SEGUNDA VIDA DE UN DEPORTISTA;
37;EP;Agenda deportiva en televisión del fin de semana;http://www.elperiodico.com/es/deportes/20171020/agenda-deportiva-television-fin-semana-6366949;EL DEPORTE EN TV;
38;EP;Operación policial contra dos narcopisos del Raval;http://www.elperiodico.com/es/barcelona/20171020/operacion-policial-contra-dos-narcopisos-del-raval-calle-roig-6366713;VIVIENDAS OCUPADAS;
39;EP;Un atlas censa barrio a barrio las 83 especies de aves que anidan en BCN;http://www.elperiodico.com/es/medio-ambiente/20171019/atlas-aves-nidificantes-de-barcelona-6365357;Biodiversidad urbana;
40;EP;Guía de Open House, la 'grande bouffe' de la arquitectura;http://www.elperiodico.com/es/barcelona/20171019/guia-de-open-house-la-grande-bouffe-de-la-arquitectura-6365486;PUERTAS ABIERTAS;
41;EP;Primer punto de defensa de derechos laborales;http://www.elperiodico.com/es/mas-barcelona/20171015/ciutat-vella-estrena-el-primer-punto-de-defensa-de-derechos-laborales-de-barcelona-6354517;TRABAJO;
42;EP;De toda la vida;http://www.elperiodico.com/es/noticias/onbarcelona/cocinas/toda-vida-6360192;PARA FIARSE;
43;EP;'Los vecinos de arriba', una comedia para reír... o no;http://www.elperiodico.com/es/noticias/onbarcelona/mirar/los-vecinos-arriba-una-comedia-para-reir-6364599;teatro;
44;EP;No es fotografía, es Richard Estes;http://www.elperiodico.com/es/noticias/onbarcelona/mirar/fotografia-richard-estes-6359101;arte;
45;EP;Croqueta de pollo al curri de Albert Ventura;http://www.elperiodico.com/es/noticias/onbarcelona/cocinas/croqueta-pollo-curri-albert-ventura-6337245;la receta de mi vida;
46;EP;El pez que se comió el falo de Osiris;http://www.elperiodico.com/es/ocio-y-cultura/20171019/oxirrinco-25-anos-mision-arqueologica-egipto-6357160;EN TIERRA DE FARAONES;
47;EP;"Xavier Gens: ""A Sánchez Piñol le habría gustado ser Darwin""";http://www.elperiodico.com/es/ocio-y-cultura/20171019/entrevista-xavier-gens-estreno-adaptacion-la-pell-freda-la-piel-fria-albert-sanchez-pinol-6359928;DIRECTOR DE 'LA PELL FREDA';
