"movie_name";"daily_gross";"gross_to_date";"gross_per_theater";"date"
"Star Wars: The Last Jedi";13566649;517218368;3206;2017-12-31
"Jumanji: Welcome to the Jungle";12989945;169002557;3450;2017-12-31
"The Greatest Showman";4436321;49036718;1338;2017-12-31
"Pitch Perfect 3";3565285;63300605;1028;2017-12-31
"Ferdinand";2757842;53546717;826;2017-12-31
"Coco";1852339;179834199;880;2017-12-31
"Darkest Hour";1771920;18132857;1879;2017-12-31
"All the Money in the World";1749655;12712380;844;2017-12-31
"Downsizing";1273053;17160674;477;2017-12-31
"Father Figures";1095601;12885287;378;2017-12-31
"The Shape of Water";996207;15670177;1318;2017-12-31
"Wonder";847181;121559294;710;2017-12-31
"Molly's Game";729998;5377480;2694;2017-12-31
"Lady Bird";387940;31432463;990;2017-12-31
"Justice League";276222;225546295;227;2017-12-31
"Tiger Zinda Hai";268245;4572231;945;2017-12-31
"Daddy's Home 2";244693;101791381;318;2017-12-31
"Thor: Ragnarok";206623;311225150;383;2017-12-31
"Three Billboards Outside Ebbing, Missouri";201312;24164629;757;2017-12-31
"The Disaster Artist";200119;17861795;395;2017-12-31
"The Post";186640;1760121;20738;2017-12-31
"Murder on the Orient Express (2017)";176205;100619624;451;2017-12-31
"I, Tonya";155000;2351353;3163;2017-12-31
"The Star";98913;39963949;150;2017-12-31
"Phantom Thread";63340;527840;15835;2017-12-31
"A Bad Moms Christmas";32523;71891988;152;2017-12-31
"The Man Who Invented Christmas";17652;5575759;121;2017-12-31
"The Florida Project";11940;5297299;362;2017-12-31
"Geostorm";11702;33578782;106;2017-12-31
"Wonder Wheel";11088;1306606;202;2017-12-31
"Blade Runner 2049";10427;91654512;139;2017-12-31
"Only The Brave";9765;18181288;114;2017-12-31
"Hostiles";9739;85745;1948;2017-12-31
"Victoria and Abdul";3485;22233285;152;2017-12-31
"The Polar Express (2017 re-release)";3322;292230;0;2017-12-31
"Same Kind of Different as Me";2919;6394006;73;2017-12-31
"Marshall";2687;9468318;54;2017-12-31
"Roman J. Israel, Esq.";2322;11851274;70;2017-12-31
"Big Sonia";2298;113604;2298;2017-12-31
"The Breadwinner";528;214640;53;2017-12-31
"Let there be Light";504;7208088;63;2017-12-31
"Thelma";245;132011;41;2017-12-31
"On the Beach at Night Alone";197;30413;99;2017-12-31
"E.T.: The Extra-Terrestrial";2672134;67037474;2089;1982-06-30
"E.T.: The Extra-Terrestrial";4176090;166328695;2686;1982-07-31
"E.T.: The Extra-Terrestrial";938958;229298310;549;1982-08-31
"E.T.: The Extra-Terrestrial";296290;257344746;212;1982-09-30
"E.T.: The Extra-Terrestrial";1033216;278565874;923;1982-10-31
"E.T.: The Extra-Terrestrial";230807;296411572;173;1982-11-30
"E.T.: The Extra-Terrestrial";1108722;314911094;986;1982-12-31
"E.T.: The Extra-Terrestrial";104275;328014053;145;1983-01-31
"E.T.: The Extra-Terrestrial";66621;334442851;92;1983-02-28
"E.T.: The Extra-Terrestrial";388100;346784080;717;1983-04-30
"Return of the Jedi";4179605;45311004;4171;1983-05-31
"E.T.: The Extra-Terrestrial";118256;351633331;168;1983-05-31
"Ghostbusters";4478773;77104771;3059;1984-06-30
"Ghostbusters";1059362;144516590;727;1984-07-31
"Ghostbusters";1146983;182846259;838;1984-08-31
"Ghostbusters";630537;204079999;499;1984-09-30
"Ghostbusters";81187;212896144;108;1984-10-31
"Ghostbusters";169678;218356000;333;1984-11-30
"Ghostbusters";95418;220919997;440;1984-12-31
"Rambo: First Blood Part II";4453420;43364293;2147;1985-05-31
"Back to the Future";1760560;71654968;1180;1985-07-31
"Back to the Future";2765127;128164306;1784;1985-08-31
"Back to the Future";239530;155398730;170;1985-09-30
"Back to the Future";157750;170560607;125;1985-10-31
"Back to the Future";933832;183196741;828;1985-11-30
"Back to the Future";401356;190581407;465;1985-12-31
"Back to the Future";155400;197987430;350;1986-01-31
"Back to the Future";116640;200851705;360;1986-02-28
"The Running Man";265826;25350952;157;1987-11-30
"Rambo III";1353158;22560511;528;1988-05-31
"Red Heat";864385;20288175;457;1988-06-30
"Rambo III";114763;47738455;73;1988-06-30
"Red Heat";157087;33277002;317;1988-07-31
"Twins";2687720;49668525;1655;1988-12-31
"Twins";282030;87024860;170;1989-01-31
"Twins";130525;99822405;115;1989-02-28
"Twins";190890;105308462;270;1989-03-31
"Batman";8792517;78936997;3995;1989-06-30
"Ghostbusters II";2542242;67379931;1055;1989-06-30
"Twins";7625;110598607;125;1989-06-30
"Batman";1256031;204123594;571;1989-07-31
"Ghostbusters II";286112;102425369;213;1989-07-31
"Parenthood";646720;56608186;470;1989-08-31
