"movie_name";"max.gross_to_date"
"'71";1265873
"(500) Days of Summer";32289093
"10 Cloverfield Lane";72062960
"10 Years";177763
"10,000 B.C.";94626064
"102 Dalmatians";57556788
"12 Rounds";11514734
"12 Years a Slave";56390478
"127 Hours";17941751
"13 Going on 30";54561017
"13 Hours: The Secret Soldiers of Benghazi";52283026
"1408";71953494
"16 Blocks";36497477
"17 Again";64132653
"2 Fast 2 Furious";126749460
"2 Guns";75028750
"2 States";1824036
"2012";165552847
"2016 Obama's America";14817000
"20th Century Women";5663855
"21";76697507
"21 and Over";25611290
"21 Grams";5454830
"21 Jump Street";138419580
"22 Jump Street";191401515
"25th Hour";10531040
"27 Dresses";76722862
"28 Days";28576947
"28 Days Later";44981455
"28 Weeks Later";28365016
"3 Days to Kill";30623972
"3 Hearts";110026
"3 Idiots";6530756
"3:10 to Yuma (2007)";53287430
"30 Beats";14693
"30 Days of Night";29659774
"30 Minutes or Less";32897480
"300";210498518
"300: Rise of An Empire";105891155
"35 and Ticking";94652
"42";94565758
"44 Inch Chest";35471
"47 Meters Down";44295578
"47 Ronin";38203345
"5 Days of War";11677
"5 Flights Up";858622
"50 First Dates";120196997
"50 to 1";1058443
"50/50";34609465
"7 Khoon Maaf";255142
"71 Into the Fire";50431
"8 Mile";116665285
"88 Minutes";13570308
"8MM";14252888
"9";31745090
"90 Minutes in Heaven";4594753
"A Bad Moms Christmas";71891988
"A Beautiful Mind";169445791
"A Better Life";1757869
"A Bigger Splash";1480116
"A Bug's Life";154152003
"A Cat in Paris";296240
"A Christmas Carol (2009)";136889051
"A Cinderella Story";51281844
"A Cure for Wellness";7826555
"A Day Without a Mexican";3166546
"A Dog's Purpose";64230845
"A Few Good Men";140340096
"A Four Letter Word";72398
"A Gentleman";275075
"A Ghost Story";982279
"A Good Day to Die Hard";67244026
"A Good Year";7430241
"A Grin Without A Cat";41734
"A Guy Thing";13632012
"A Haunted House";39940545
"A Haunted House 2";17246894
"A History of Violence";3382000
"A Hologram for the King";4203195
"A Home at the End of the World";1014505
"A Knight's Tale";46005653
"A La Mala";3616902
"A Late Quartet";1547702
"A LEGO Brickumentary";13000
"A Letter to Momo";28898
"A Little Chaos";222237
"A Little Help";88790
"A Long Way Off";29374
"A Lot Like Love";13526724
"A Love Song for Bobby Long";125394
"A Man Apart";25408722
"A Mighty Heart";9104318
"A Mighty Wind";17521077
"A Million Ways to Die in the West";41811455
"A Monster Calls";64066
"A Most Wanted Man";17226082
"A Nightmare on Elm Street (2010)";62939381
"A Perfect Getaway";15034335
"A Pig Across Paris (2013 re-issue)";17120
"A Prairie Home Companion";20313754
"A Question Of Faith";2569560
"A Scanner Darkly";5487297
"A Serious Man";9098436
"A Single Man";9064560
"A Sound of Thunder";1886883
"A Tale of Love and Darkness";563111
"A Thousand Words";18450127
"A United Kingdom";3640067
"A Very Harold & Kumar 3D Christmas";34853056
"A Very Long Engagement";6173810
"A Walk Among the Tombstones";21764505
"A Walk in the Woods";27832638
"A Walk to Remember";41233588
"A.I. Artificial Intelligence";20763000
"Aarakshan (Reservation)";638202
"Aatsinki: The Story of Arctic Cowboys";5592
"Abandon";10642605
"ABCD (Any Body Can Dance)";221041
"ABCD (Any Body Can Dance) 2";816867
"Abduction";27864957
"About a Boy";38912870
"About Last Night (2014)";41388904
"About Schmidt";64730661
"About Time";14584213
"Abracadabra";12107
"Abraham Lincoln: Vampire Hunter";37426813
"Absolute Power";49487057
"Absolutely Fabulous: The Movie";4673155
"Accepted";35872865
"Across the Universe";24037851
"Act of Valor";70006080
"Adam";2268106
"Adaptation.";19745343
"Addicted";17382982
"Admission";18000413
"Adult Beginners";104415
"Adventureland";15360509
"Ae Dil Hai Mushkil";2336030
"Aeon Flux";25798173
"African Cats";10057099
"After Earth";58247367
"After The Ball";161820
"After the Sunset";24702000
"After.Life";107520
"Aftermath (2014)";1124
"Afternoon Delight";18081
"Against the Ropes";5871153
"Agent Cody Banks";46345590
"Agent Cody Banks 2: Destination London";21805804
"Air Force One";171880017
"Akeelah and the Bee";18502038
"Albert Nobbs";3009602
"Alex and Emma";14122182
"Alex Cross";25869488
"Alex Rider: Operation Stormbreaker";588722
"Alexander";34295449
"Alexander and the Terrible, Horrible, No Good, Very Bad Day";64134071
"Alfie";13381998
"Ali";36694948
"Alice in Wonderland (2010)";328603162
"Alice Through the Looking Glass";77040403
"Alien Trespass";82823
"Alien Vs. Predator";80158773
"Alien: Covenant";74158840
"Alien: The Director's Cut";626791
"Aliens in the Attic";25127570
"Aliens of the Deep (IMAX)";2744637
"Aliens Vs. Predator - Requiem";41484842
"All's Faire in Love";18360
"All About Steve";33848698
"All Eyez on Me";44900235
"All I See is You";183109
"All Is Lost";6235742
"All Roads Lead Home";35577
"All Saints";5681107
"All the King's Men";5844689
"All the Money in the World";12712380
"All The Rage: Saved by Sarno";13724
"All These Sleepless Nights";18826
"Allied";39541921
"Almost Christmas";41964925
"Almost Holy";19633
"Aloha";9670235
"Alone in the Dark";3088210
"Alone Yet Not Alone";885667
"Along Came a Spider";71078537
"Along Came Polly";87636770
"Alpha and Omega";25092822
"Alpha Dog";14377330
"Alphaville (2013 re-release)";46027
"Alvin and the Chipmunks";217245159
"Alvin and the Chipmunks: Chipwrecked";133100916
"Alvin and the Chipmunks: The Road Chip";85643880
"Alvin and the Chipmunks: The Squeakquel";219132378
"Amazing Grace";18019000
"Amelia";14207978
"America's Sweethearts";63035088
"America (2014)";14438086
"American Assassin";36122860
"American Beauty";128144856
"American Casino";49453
"American Dreamz";6157595
"American Gangster";130164645
"American Honey";661512
"American Hustle";150028320
"American Made";51231725
"American Pastoral";543510
