"imdb_id"	"tmdb_id"	"primaryTitle"	"mainGenre"	"genres"	"isAdult"	"releaseYear"	"releaseDate"	"overview"	"tagline"	"budget"	"revenue"	"averageRating"	"numVotes"
"tt0018867"	253946	"Escape from Hong Kong"	"Adventure"	"Adventure,War"	"0"	1942	1942-05-15	"Three American vaudeville entertainers become involved with spies in Hong Kong, just before Pearl Harbor."	"3 AMERICAN SHARP-SHOOTERS ring the bell at Hong Kong"	0	0	6.3	10
"tt0021617"	421579	"Arizona Territory"	"Adventure"	"Western"	"0"	1950	1950-07-02	"Prospector Jeff Malloy rescues Doris Devlin, owner of a trading post, from an ambush planned by her uncle, Kilburn, who is trying to scare her out of the territory so that he can continue his counterfeiting operations."	"SIX-GUN FURY OF FRONTIER DAYS!"	0	0	5.4	17
"tt0024121"	220596	"Houkutuslintu"	"Adventure"	"Drama"	"0"	1946	1946-02-28	"Marja is a prostitute who has to run away, when her pimp Jussi robs and kills one of her costumers. She finds a hiding place in a mansion on the country side. Marja falls in love with the master of the mansion, but Jussi finds out Marjas whereabouts and comes to meet her."	""	0	0	6	45
"tt0025557"	446027	"El negro que tenía el alma blanca"	"Drama"	"Drama,Musical"	"0"	1951	1951-05-28	""	""	0	0	7.3	25
"tt0029105"	202173	"Lady from Lisbon"	"Drama"	"Comedy"	"0"	1942	1942-09-01	"When she learns that the Nazis have confiscated Leonardo da Vinci's masterpiece Mona Lisa, art-loving South American wanna-be spy Tamara (Jane Carr) journeys to Lisbon to snoop for the Germans in return for the iconic painting. But bumbling Nazi agents, Allied counterspies and multiple copies of the artwork soon confound her attempts at espionage."	""	0	0	6.1	15
"tt0029284"	41463	"My Favorite Wife"	"Comedy"	"Comedy,Romance"	"0"	1940	1940-05-17	"Ellen Arden arrives 7 years after being given up for dead in a shipwreck, to find her husband Nick just remarried to Bianca. The overjoyed Nick awkwardly tries to break the news gently to Bianca. But before he can do that, an unpleasant surprise--news that Ellen has spent the 7 years on a deserted island with fellow-survivor Burkett. Nick's jealousy tries to find out the truth. Hilarious confusion reigns before Nick chooses his favorite wife."	"The funniest, fastest honeymoon ever screened!"	0	0	7.4	7729
"tt0029876"	290338	"El fanfarrón: ¡Aquí llegó el valentón!"	"Adventure"	"Adventure,Drama,Western"	"0"	1940	1943-05-13	"Ranchera melodrama. Filmed in 1938, not released until 1943."	""	0	0	6.8	5
"tt0030998"	201253	"You're Only Young Twice"	"Adventure"	"Comedy"	"0"	1952	1951-07-01	"Seeking her long lost uncle, Ada Shore arrives at Skerryvore University to find him working under another name as the Gate Keeper. Ada is mistaken by the Principal as his new secretary so she jumps headlong into the role"	""	0	0	6.1	68
"tt0031077"	173331	"Band Waggon"	"Comedy"	"Comedy,Musical"	"0"	1940	1940-03-23	"A plot involving spies in a haunted castle gives this team of celebrated British wireless comedians plenty of scope for laughs."	""	0	0	5.6	116
"tt0031084"	257050	"Beating Heart"	"Comedy"	"Comedy,Drama"	"0"	1940	1940-02-01	"Tells the story of a young woman escaping from reform school who tries to steal a foreign ambassador's watch but ends up falling in love with him."	""	0	0	6.9	123
"tt0031146"	418435	"Centomila dollari"	"Drama"	"Comedy"	"0"	1940	1940-03-23	""	""	0	0	5.8	9
"tt0031192"	91650	"Crook's Tour"	"Comedy"	"Comedy,Mystery"	"0"	1941	1941-05-24	"Charters (Basil Radford) and Caldicott (Naunton Wayne) are touring the Middle East. After visiting Saudi Arabia they find themselves in Bagdad where they are mistaken by a group of German spies for the messengers who are to carry a song record by beautiful singer La Palermo (Greta Gynt) which contains secret instructions of the German Intelligence. Realizing their error, the German spies follow Charters and Caldicott to Istanbul and Budapest, trying to eliminate them and retrieve the record."	""	0	0	5.9	195
"tt0031217"	416920	"Dead Man's Shoes"	"Comedy"	"Drama"	"0"	1940	1940-05-05	"An amnesia victim is a well liked and respected member of his community--until one day someone from his past shows up with evidence that in \"the old days\" he had been a notorious criminal, and threatens to expose him unless he pays off."	""	0	0	7.8	18
"tt0031228"	67548	"Devil's Daughter"	"Comedy"	"Drama"	"0"	1946	1946-04-17	""	""	0	0	7.2	47
"tt0031244"	326645	"Dora Nelson"	"Comedy"	"Comedy,Drama"	"0"	1940	1940-01-01	"A humble girl looks so much alike a capricious movies star that she gets to replace her both on the set and in her private life. A remake of a French comedy from 5 years before."	""	0	0	6.7	20
"tt0031271"	283453	"In the Times of Don Porfirio"	"Comedy"	"Comedy,Drama,Musical"	"0"	1940	1940-04-04	"A 1940 film directed by Juan Bustillo Oro."	""	0	0	7.9	34
"tt0031292"	86998	"Familjen Björck"	"Drama"	"Comedy"	"0"	1940	1940-01-20	"The Björcks are an ordinary middle-class family in a large Stockholm apartment with with two children, Greta and Ville. But the family's happiness is threatened in two ways: Greta prefers Börje Schack instead of the well-behaving Bertil. And the flirtatious Mrs. Holten tries to snare Mr. Björck. Plot by Mattias Thuresson."	""	0	0	5.8	32
"tt0031341"	222204	"French Without Tears"	"Drama"	"Comedy"	"0"	1940	1940-02-02	"It is based on the popular West End stage comedy by Terrence Rattigan. It all begins when Diana (Ellen Drew), the sister of a British boy studying in France, arrives in town to flirt with all of her brothers' schoolmates. Alan (Ray Milland), one of the students, successfully resists Diana's charms-meaning of course that Alan and Diana will be in each other's arms by fadeout time. (AllMovie)"	"They Took Their French in One \"Knee-sy\" Lesson!"	0	0	7.1	56
"tt0031348"	209316	"Frontier Vengeance"	"Action"	"Action,Western"	"0"	1940	1940-10-10	"Jim Sanders (Don 'Red' Barry), young cowboy, returns to his hometown for a reunion with his boyhood friend Clay Blackburn (George Offerman Jr.). Once there he learns that Clay's father, Frank Blackburn (Ivan Miller), is the unscrupulous proprietor of a stagecoach line and is out to bankrupt the line run by Joel Hunter (Griff Barnett' ), the father of Jim's sweetheart Ruth Hunter (Betty Moran). Jim is forced to lead the fight against his best friend."	"RANGELAND TROUBLE-SHOOTER"	0	0	5.6	18
"tt0031359"	55207	"Gaslight"	"Action"	"Thriller"	"0"	1940	1940-06-25	"Twenty years after the murder of Alice Barlow, her house is finally occupied again. However, the husband of the couple who have moved in has a secret which he will do anything to keep hidden."	""	0	0	7.4	2910
"tt0031368"	462267	"The Girl Who Forgot"	"Action"	"Comedy"	"0"	1940	1940-02-24	"A young women under a lot of pressure in her life decides to take a train trip to mellow out, but is suddenly stricken with a case of amnesia. A con artist takes advantage..."	""	0	0	5.6	8
"tt0031378"	112001	"Golden Gloves"	"Crime"	"Crime,Drama,Sport"	"0"	1940	1940-08-02	"An amateur boxer's (Richard Denning) girlfriend (Jean Cagney) inspires him to face a ring pro entered by a gangster."	""	0	0	6.3	24
"tt0031394"	250332	"The Green Hornet"	"Adventure"	"Adventure,Crime,Drama"	"0"	1940	1940-01-08	"A newspaper publisher and his Korean servant fight crime as vigilantes who pose as a notorious masked gangster and his aide."	""	0	96683199	7.1	386
"tt0031444"	238353	"Hoots Mon"	"Adventure"	"Comedy"	"0"	1940	1940-04-26	"An English comedian is infuriated by a Scottish comedienne's impersonation of him"	""	0	0	6.5	19
"tt0031466"	184955	"I Take This Woman"	"Adventure"	"Drama"	"0"	1940	1940-02-01	"Georgi has attempted suicide in reaction to an earlier love affair. Now that Dr. Decker has married her he sets out to get her to love him. To make enough to give her what she wants he becomes physician to the rich, abandoning his clinic services to the poor."	""	0	0	6.3	473
"tt0031504"	365042	"Jail Birds"	"Comedy"	"Comedy,Crime"	"0"	1940	1940-04-20	"Two convicts escape prison and get a job in a bakery. Their attempts to go straight are endangered by a third escaped convict."	""	0	0	5	5
"tt0031522"	351873	"Just William"	"Comedy"	"Comedy"	"0"	1940	1940-07-20	"A rascal child recruits his friends as assistants to help his father to get elected to the city council. Sadly, the children accidentally helped two jewel thieves to escape. They feel sorry about this, and then, to redeem themselves, the kids begin investigating a rival candidates conspiracy. Their involvement causes the boy's father to win the elections."	""	0	0	6.2	39
"tt0031548"	252781	"Lady in Distress"	"Comedy"	"Thriller"	"0"	1940	1940-06-15	"A man witnesses a murder that isn't a murder, only to get involved with the magician and his wife who created the illusion. The insanely jealous magician husband eventually kills his wife, making for complications in life of unhappily married man who is now involved more than he ever thought he would be."	""	0	0	6.7	100
"tt0031591"	291257	"Los de abajo"	"Drama"	"Drama,War"	"0"	1940	1940-01-01	"During the Mexican Revolution, the people tired of living in poverty and enduring the atrocities committed by the federals, decide to follow one of their own, General Demetrio Macias, a thief with tricks he learned in jail and who along with \"La Pintada\" decides to take his people to victory. Led by Captain Anastacio Montañez, the newly formed army fight and honor their code at the same time as they loot houses to spread the wealth."	"The grand drama of Mexican people!"	0	0	7.1	28
"tt0031600"	354156	"Gambling Hell"	"Adventure"	"Adventure,Drama"	"0"	1942	1942-12-09	"A thriller about gunrunners in the Far East co-starring Erich von Stroheim and Sessue Hayakawa. When the Germans occupied France, the director was forced to replace von Stroheim with Pierre Renoir and re-shoot several sequences in order to secure distribution."	""	0	0	6.7	111
"tt0031603"	266416	"Made in Germany - Die dramatische Geschichte des Hauses Zeiss"	"Biography"	"Biography,Drama"	"0"	1957	1957-01-24	""	""	0	0	6.5	13
"tt0031612"	245268	"The Man from Down Under"	"Drama"	"Drama,War"	"0"	1943	1943-08-04	"An Australian blowhard raises two orphaned children as his own in the years leading up to WWII."	"THRILLS!  FUN!  ACTION!"	0	0	6.2	157
"tt0031617"	192510	"The Man from Dakota"	"Drama"	"Drama,History,War"	"0"	1940	1940-02-16	"A frontier scout (Wallace Beery), a Boston officer (John Howard) and a Russian girl (Dolores del Rio) escape with a map past Confederates."	""	0	0	5.3	46
"tt0031623"	307556	"Ein Mann auf Abwegen"	"Adventure"	"Adventure,Comedy"	"0"	1940	1940-03-04	""	""	0	0	7	25
"tt0031641"	111577	"Mexican Spitfire"	"Adventure"	"Comedy"	"0"	1940	1940-01-12	"Newlyweds Dennis and Carmelita have several obstacles to deal with in their new marriage: Carmelita's fiery Latin temper, a meddling aunt and a conniving ex-fiancee who's determined to break up their marriage."	"Viva! viva! velez!"	0	0	6.3	224
"tt0031644"	325706	"The Middle Watch"	"Adventure"	"Comedy"	"0"	1940	1940-05-11	"Through a series of unforeseen events, two glamorous young ladies find that they are obliged to spend the night on board the battleship HMS Falcon, where they have been attending a 'bon voyage' reception. At first it seems that Captain Randall will be able to keep them concealed, but then the Admiral unexpectedly arrives on board and orders the ship to sea."	""	0	0	6.3	18
"tt0031682"	375053	"Mrs. Pym of Scotland Yard"	"Crime"	"Crime,Mystery"	"0"	1940	1940-04-13	"An eccentric woman detective investigates the murders of several people who visited the same medium."	""	0	0	5.6	38
"tt0031828"	87060	"The Proud Valley"	"Drama"	"Drama,Music"	"0"	1940	1940-04-06	"In a Welsh coal mining valley, a young man with a beautiful singing voice is called upon to make the ultimate sacrifice when a pit disaster threatens."	""	0	0	6.7	292
"tt0031853"	238727	"Return to Yesterday"	"Drama"	"Drama"	"0"	1940	1940-09-08	"Robert Maine is torn between returning to the glamour of Hollywood and working with a small theatre company in England."	""	0	0	6.4	37
"tt0031870"	358198	"Roll Wagons Roll"	"Drama"	"Western"	"0"	1940	1940-08-16	"The Army sends Tex Masters to find out who is supplying Indians with military guns."	"SMOKING SIX-GUNS BLAZE A BLOODY TRAIL TO OREGON!...Tex rides through renegade ambush and savage Indian massacres...to bring Army law to the untamed prairie!"	0	0	5	12
"tt0031878"	268239	"Rose scarlatte"	"Drama"	"Comedy"	"0"	1940	1940-04-01	"A comedy of errors about marriage and infidelity. Vittorio De Sica's debut film."	""	0	0	7.5	25
"tt0031920"	401834	"She Couldn't Say No"	"Crime"	"Comedy"	"0"	1940	1939-04-20	"A woman arranges a burglary to try to recover a stolen diary with compromising details written in it."	""	0	0	5.3	6
